Tipo;Notícia;Link
Secundário;"Rose Miriam avalia 1 ano sem Gugu: 'Nos reconstruindo'";"https://revistamarieclaire.globo.com/Mulheres-do-Mundo/noticia/2020/11/rose-miriam-fala-sobre-uniao-com-os-filhos-um-ano-apos-morte-de-gugu-nos-reconstruindo.html"
Secundário;"Aumento de internações por Covid-19 preocupa em várias cidades";"https://globoplay.globo.com/v/9041301/"
Secundário;"Brasileiro bem-sucedido no exterior manda recado";"https://globoplay.globo.com/v/9041285/"
Secundário;"Artistas negros fazem corredor de grafites em SP";"https://globoplay.globo.com/v/9041309/"
Secundário;"Exagero no sal pode causar pressão alta";"https://globoplay.globo.com/v/9041271/"
Secundário;"Mulher de João Alberto fala da dor da perda do marido";"https://globoplay.globo.com/v/9041143/"
Secundário;"Lista revela os jogos mais estressantes do mundo; veja";"https://www.techtudo.com.br/noticias/2020/11/mario-kart-e-fifa-20-sao-jogos-mais-estressantes-do-mundo-diz-estudo.ghtml"
Secundário;"Galaxy lançado este ano está menos de R$ 1 mil; veja";"https://www.techtudo.com.br/noticias/2020/11/galaxy-a01-vs-nokia-23-comparativo-preco-e-ficha-tecnica.ghtml"
Secundário;"App deixa navegar na web sem deixar rastros; conheça";"https://www.techtudo.com.br/listas/2020/11/cinco-navegadores-para-usar-a-internet-sem-deixar-rastros.ghtml"
Secundário;"PES 2021: como montar um bom time no myClub";"https://globoesporte.globo.com/esports/pes/noticia/pes-2021-como-ganhar-gp-e-montar-um-bom-time-no-myclub.ghtml"
Secundário;"Aprenda a usar sombra para fazer um delineado colorido";"https://revistaglamour.globo.com/Beleza/Maquiagem/noticia/2020/11/te-ensinamos-usar-sombra-para-fazer-um-delineado-colorido-de-sucesso.html"
Secundário;"Monte três opções de looks usando a mesma blusa jeans";"https://gshow.globo.com/moda-e-beleza/noticia/camisa-jeans-aprenda-a-montar-tres-opcoes-de-looks-usando-a-mesa-peca.ghtml"
Secundário;"3 tendências de make em que se deve apostar neste verão";"https://revistamarieclaire.globo.com/Beauty-Tudo/noticia/2020/11/3-tendencias-de-maquiagem-para-apostar-neste-verao.html"
Secundário;"Picape pneus de monster truck anda sobre as águas";"https://autoesporte.globo.com/carros/noticia/2020/11/picape-com-oito-pneus-de-monster-trucks-consegue-andar-sobre-as-aguas-e-ser-parada-pela-policia.ghtml"
Secundário;"As 7 chaves de carros mais exóticas do mundo";"https://autoesporte.globo.com/carros/noticia/2020/11/as-7-chaves-de-carros-mais-exoticas-do-mundo.ghtml"
Secundário;"Os melhores sedãs médios para fugir dos SUVs";"https://autoesporte.globo.com/mercado/noticia/2020/11/qual-comprar-os-melhores-sedas-medios-para-fugir-dos-suvs.ghtml"
Secundário;"Testemunho de Ester pode colocar Cassiano na prisão";"https://gshow.globo.com/novelas/flor-do-caribe/vem-por-ai/noticia/testemunho-de-ester-na-policia-pode-colocar-cassiano-na-prisao.ghtml"
Secundário;"Carmela confessa que odeia Shirlei: 'Por mim, não nascia'";"https://gshow.globo.com/novelas/haja-coracao/vem-por-ai/noticia/carmela-confessa-que-odeia-shirlei-por-mim-nao-tinha-nem-nascido.ghtml"
Secundário;"O Retorno de Mary Poppins: curiosidades de Emily Blunt";"https://gshow.globo.com/Famosos/noticia/o-retorno-de-mary-poppins-confira-curiosidades-da-protagonista-emily-blunt.ghtml"
Secundário;"Reveja todas as Batalhas da 9ª temporada do reality";"https://gshow.globo.com/realities/the-voice-brasil/2020/noticia/the-voice-brasil-reveja-todas-as-batalhas-da-9a-temporada.ghtml"
Secundário;"Mês da consciência negra: Live da Iza e convidados no Multishow!";"https://globoplay.globo.com/transmissoes/7339131/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card1&utm_term=multishow-livedaiza"
Secundário;"'Casais que Amamos' estreia hoje no VIVA às 19h";"https://globoplay.globo.com/transmissoes/7339091/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card2&utm_term=viva-casaisqueamamos"
Secundário;"'Além dos Limites' leva Fernando ao lado selvagem da vida";"https://globoplay.globo.com/alem-dos-limites/t/YyNkXPqPms/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card3&utm_term=off-alemdoslimites"
